[INFO ] [2023-01-06 17:36:06,923] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-06 17:36:07,841] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-06 17:36:07,936] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-06 17:36:08,016] Register - Step 04: Enter to Email address textbox with value is 'afc9325@mail.vn'
[INFO ] [2023-01-06 17:36:08,148] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-06 17:36:08,248] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-06 17:36:08,337] Register - Step 07: Click to Register button
[INFO ] [2023-01-06 17:36:10,322] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-06 17:36:10,373] Register - Step 09: Click to Continue button
[INFO ] [2023-01-06 17:36:12,073] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-06 17:36:12,970] Login - Step 02: Enter to Email address textbox with value is 'afc9325@mail.vn'
[INFO ] [2023-01-06 17:36:13,058] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-06 17:36:13,133] Login - Step 04: Click to Login button
[INFO ] [2023-01-06 17:36:15,078] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-06 17:36:15,182] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-06 17:36:16,414] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-06 17:48:02,002] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-06 17:48:03,131] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-06 17:48:03,214] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-06 17:48:03,301] Register - Step 04: Enter to Email address textbox with value is 'afc42983@mail.vn'
[INFO ] [2023-01-06 17:48:03,409] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-06 17:48:03,483] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-06 17:48:03,573] Register - Step 07: Click to Register button
[INFO ] [2023-01-06 17:48:04,330] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-06 17:48:04,386]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-06 17:48:04,386] Register - Step 09: Click to Continue button
[INFO ] [2023-01-06 17:48:04,832] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-06 17:48:05,220] Login - Step 02: Enter to Email address textbox with value is 'afc42983@mail.vn'
[INFO ] [2023-01-06 17:48:05,308] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-06 17:48:05,384] Login - Step 04: Click to Login button
[INFO ] [2023-01-06 17:48:06,083] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-06 17:48:06,187]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-06 17:48:06,187] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-06 17:48:06,657] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-06 17:48:06,752]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-06 23:04:46,782] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-06 23:04:53,323] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-06 23:04:53,412] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-06 23:04:53,486] Register - Step 04: Enter to Email address textbox with value is 'afc59444@mail.vn'
[INFO ] [2023-01-06 23:04:53,579] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-06 23:04:53,654] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-06 23:04:53,732] Register - Step 07: Click to Register button
[INFO ] [2023-01-06 23:04:54,857] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-06 23:04:54,909] Register - Step 09: Click to Continue button
[INFO ] [2023-01-06 23:04:55,766] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-06 23:04:56,352] Login - Step 02: Enter to Email address textbox with value is 'afc59444@mail.vn'
[INFO ] [2023-01-06 23:04:56,432] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-06 23:04:56,506] Login - Step 04: Click to Login button
[INFO ] [2023-01-06 23:04:57,318] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-06 23:04:57,415] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-06 23:04:57,895] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-06 23:07:21,140] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-06 23:07:22,014] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-06 23:07:22,110] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-06 23:07:22,208] Register - Step 04: Enter to Email address textbox with value is 'afc35000@mail.vn'
[INFO ] [2023-01-06 23:07:22,288] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-06 23:07:22,362] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-06 23:07:22,438] Register - Step 07: Click to Register button
[INFO ] [2023-01-06 23:07:23,965] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-06 23:07:24,074] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-06 23:07:26,095] Login - Step 02: Enter to Email address textbox with value is 'afc35000@mail.vn'
[INFO ] [2023-01-06 23:07:26,184] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-06 23:07:26,262] Login - Step 04: Click to Login button
[INFO ] [2023-01-06 23:07:27,046] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-06 23:07:27,133] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-06 23:07:28,133] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-10 21:30:30,948] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-10 21:30:32,373] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-10 21:30:32,450] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-10 21:30:32,521] Register - Step 04: Enter to Email address textbox with value is 'afc75465@mail.vn'
[INFO ] [2023-01-10 21:30:32,603] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 21:30:32,675] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-10 21:30:32,752] Register - Step 07: Click to Register button
[INFO ] [2023-01-10 21:30:33,649] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-10 21:30:33,768] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-10 21:35:01,756] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-10 21:35:02,732] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-10 21:35:02,826] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-10 21:35:02,911] Register - Step 04: Enter to Email address textbox with value is 'afc21940@mail.vn'
[INFO ] [2023-01-10 21:35:02,992] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 21:35:03,067] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-10 21:35:03,144] Register - Step 07: Click to Register button
[INFO ] [2023-01-10 21:35:04,205] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-10 21:35:04,315] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-10 21:35:05,103] Login - Step 02: Enter to Email address textbox with value is 'afc21940@mail.vn'
[INFO ] [2023-01-10 21:35:05,186] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 21:35:05,275] Login - Step 04: Click to Login button
[INFO ] [2023-01-10 21:35:06,939] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-10 21:35:07,055] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-10 21:35:07,635] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-10 21:37:47,525] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-10 21:37:50,160] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-10 21:37:50,241] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-10 21:37:50,329] Register - Step 04: Enter to Email address textbox with value is 'afc5482@mail.vn'
[INFO ] [2023-01-10 21:37:50,408] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 21:37:50,485] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-10 21:37:50,575] Register - Step 07: Click to Register button
[INFO ] [2023-01-10 21:37:53,140] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-10 21:37:53,243] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-10 21:37:53,827] Login - Step 02: Enter to Email address textbox with value is 'afc5482@mail.vn'
[INFO ] [2023-01-10 21:37:53,928] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 21:37:54,006] Login - Step 04: Click to Login button
[INFO ] [2023-01-10 21:37:55,216] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-10 21:37:55,308] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-10 21:37:57,028] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-10 22:18:05,465] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-10 22:18:06,276] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-10 22:18:06,362] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-10 22:18:06,450] Register - Step 04: Enter to Email address textbox with value is 'afc77899@mail.vn'
[INFO ] [2023-01-10 22:18:06,534] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 22:18:06,623] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-10 22:18:06,700] Register - Step 07: Click to Register button
[INFO ] [2023-01-10 22:18:07,816] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-10 22:18:07,908] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-10 22:22:25,135] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-10 22:22:27,008] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-10 22:22:27,084] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-10 22:22:27,160] Register - Step 04: Enter to Email address textbox with value is 'afc11471@mail.vn'
[INFO ] [2023-01-10 22:22:27,242] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 22:22:27,319] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-10 22:22:27,398] Register - Step 07: Click to Register button
[INFO ] [2023-01-10 22:22:28,242] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-10 22:22:28,337] Register - Step 09: Click to Continue button
[INFO ] [2023-01-10 22:22:28,753] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-10 22:22:29,153] Login - Step 02: Enter to Email address textbox with value is 'afc11471@mail.vn'
[INFO ] [2023-01-10 22:22:29,243] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 22:22:29,318] Login - Step 04: Click to Login button
[INFO ] [2023-01-10 22:22:30,315] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-10 22:22:30,404] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-10 22:22:30,864] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-10 22:24:33,088] Register - Step 01: Open 'Register' page
[INFO ] [2023-01-10 22:24:34,512] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-10 22:24:34,604] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-10 22:24:34,677] Register - Step 04: Enter to Email address textbox with value is 'afc26541@mail.vn'
[INFO ] [2023-01-10 22:24:34,758] Register - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 22:24:34,832] Register - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-10 22:24:34,941] Register - Step 07: Click to Register button
[INFO ] [2023-01-10 22:24:36,294] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-01-10 22:24:36,384] Register - Step 09: Click to Continue button
[INFO ] [2023-01-10 22:24:36,921] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-10 22:24:37,629] Login - Step 02: Enter to Email address textbox with value is 'afc26541@mail.vn'
[INFO ] [2023-01-10 22:24:37,709] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-10 22:24:37,830] Login - Step 04: Click to Login button
[INFO ] [2023-01-10 22:24:38,893] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-10 22:24:38,989] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-10 22:24:39,601] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-12 21:13:09,163] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-12 21:13:10,772] Login - Step 02: Enter to Email address textbox with value is 'afc22896@mail.vn'
[INFO ] [2023-01-12 21:13:10,862] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-12 21:13:10,934] Login - Step 04: Click to Login button
[INFO ] [2023-01-12 22:19:55,594] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-12 22:19:56,813] Login - Step 02: Enter to Email address textbox with value is 'null'
[INFO ] [2023-01-12 22:23:26,656] Pre-Condition - Step 01: Navigate to Login page
[INFO ] [2023-01-12 22:23:29,952] Pre-Condition - Step 02: Set cookie and reload page 'null'
[INFO ] [2023-01-12 22:23:38,387] Pre-Condition - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-12 22:25:42,897] Pre-Condition - Step 01: Navigate to Login page
[INFO ] [2023-01-12 22:25:43,715] Pre-Condition - Step 02: Set cookie and reload page 'null'
[INFO ] [2023-01-12 22:25:50,122] Pre-Condition - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-12 22:26:39,030] Pre-Condition - Step 01: Navigate to Login page
[INFO ] [2023-01-12 22:26:40,281] Pre-Condition - Step 02: Set cookie and reload page 'null'
[INFO ] [2023-01-12 22:26:45,455] Pre-Condition - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-12 22:35:02,156] Pre-Condition - Step 01: Navigate to Login page
[INFO ] [2023-01-12 22:35:02,875] Pre-Condition - Step 02: Set cookie and reload page ''
[INFO ] [2023-01-12 22:35:07,515] Pre-Condition - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-12 22:39:40,987] Pre-Condition - Step 01: Navigate to Login page
[INFO ] [2023-01-12 22:39:41,671] Pre-Condition - Step 02: Set cookie and reload page ''
[INFO ] [2023-01-12 22:39:47,086] Pre-Condition - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-12 22:39:47,173]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-13 14:26:55,989] Pre-condition - Step 01: Open 'Register' page
[INFO ] [2023-01-13 14:26:56,697] Pre-condition - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2023-01-13 14:26:56,850] Pre-condition - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2023-01-13 14:26:56,941] Pre-condition - Step 04: Enter to Email address textbox with value is 'afc48974@mail.vn'
[INFO ] [2023-01-13 14:26:57,033] Pre-condition - Step 05: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-13 14:26:57,110] Pre-condition - Step 06: Enter to Confirm Pasword textbox with value is '123456'
[INFO ] [2023-01-13 14:26:57,186] Pre-condition - Step 07: Click to Register button
[INFO ] [2023-01-13 14:26:58,025] Pre-condition - Step 08: Verify register success message is displayed
[INFO ] [2023-01-13 14:26:58,125]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-01-13 14:26:58,147] Pre-condition - Step 09: Click to Continue button
[INFO ] [2023-01-13 14:26:58,760] Login - Step 01: Navigate to Login page
[INFO ] [2023-01-13 14:26:59,245] Login - Step 02: Enter to Email address textbox with value is 'afc48974@mail.vn'
[INFO ] [2023-01-13 14:26:59,393] Login - Step 03: Enter to Pasword textbox with value is '123456'
[INFO ] [2023-01-13 14:26:59,477] Login - Step 04: Click to Login button
[INFO ] [2023-01-13 14:27:00,292] Login - Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-01-13 14:27:00,441]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-13 14:27:00,441] Login - Step 06: Navigte to 'My Account' link
[INFO ] [2023-01-13 14:27:00,993] Login - Step 07: Verify to 'Customer Info' link
[INFO ] [2023-01-13 14:27:01,138]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-01-13 14:28:55,292] Pre-condition - Step 01: Open 'Register' page
